City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Sheltozero,RU,2022-04-24 23:18:11,61.3667,35.3667,30.4,93,52,6.78
124,Nome,US,2022-04-24 23:14:49,64.5011,-165.4064,39.27,87,100,5.75
125,Saint-Georges,GD,2022-04-24 23:18:12,12.0564,-61.7485,80.28,74,75,11.5
126,Avarua,CK,2022-04-24 23:10:49,-21.2078,-159.775,80.65,83,40,11.5
127,Grand Gaube,MU,2022-04-24 23:18:12,-20.0064,57.6608,75.6,74,100,8.99
128,Sorong,ID,2022-04-24 23:11:57,-0.8833,131.25,80.04,84,72,3.31
129,Rawson,AR,2022-04-24 23:18:13,-43.3002,-65.1023,56.82,42,70,31.54
130,Grindavik,IS,2022-04-24 23:18:14,63.8424,-22.4338,43.27,93,100,9.22
131,Menongue,AO,2022-04-24 23:18:14,-14.6585,17.691,59.67,62,39,2.01
132,Yavaros,MX,2022-04-24 23:18:15,26.7,-109.5167,88.45,36,0,14.9
133,San Patricio,US,2022-04-24 23:10:40,28.017,-97.5169,84.29,66,22,19.73
134,Tual,ID,2022-04-24 23:19:15,-5.6667,132.75,83.84,66,99,2.48
135,Lavumisa,SZ,2022-04-24 23:19:16,-27.31,31.892,67.91,96,72,1.99
136,Mao,ES,2022-04-24 23:19:16,39.8885,4.2658,55.96,76,0,5.75
137,Khudumelapye,BW,2022-04-24 23:19:16,-23.8833,24.75,66.97,49,69,11.12
138,Svetlogorsk,BY,2022-04-24 23:19:17,52.6333,29.7333,48.34,83,80,7.2
139,Sao Joao Da Barra,BR,2022-04-24 23:14:58,-21.6403,-41.0511,75.07,84,97,12.53
140,Chuy,UY,2022-04-24 23:12:05,-33.6971,-53.4616,63.55,63,3,11.72
141,Morwell,AU,2022-04-24 23:19:18,-38.2333,146.4,58.41,86,99,3.33
142,Constitucion,CL,2022-04-24 23:10:39,-35.3333,-72.4167,54.3,93,100,9.98
143,Thompson,CA,2022-04-24 23:11:57,55.7435,-97.8558,20.66,58,100,14.94
144,Petropavlovsk-Kamchatskiy,RU,2022-04-24 23:19:18,53.0452,158.6483,41.59,52,75,15.66
145,Beringovskiy,RU,2022-04-24 23:12:15,63.05,179.3167,27.46,80,99,5.46
146,Olinda,BR,2022-04-24 23:19:19,-8.0089,-34.8553,82.13,74,40,8.05
147,Bagotville,AU,2022-04-24 23:19:19,-28.9833,153.4167,69.82,63,81,11.34
148,Sri Aman,MY,2022-04-24 23:19:20,1.2376,111.4621,75.25,100,98,3.44
149,Aklavik,CA,2022-04-24 23:12:07,68.2191,-135.0107,32.68,97,100,5.84
150,Oranjemund,NA,2022-04-24 23:19:20,-28.55,16.4333,53.71,86,0,14.03
151,Isoka,ZM,2022-04-24 23:19:21,-10.1606,32.6335,61.29,98,79,2.26
152,Colchester,GB,2022-04-24 23:19:21,51.8892,0.9042,45.52,88,6,12.01
153,Nara,JP,2022-04-24 23:19:20,34.6851,135.8049,67.32,70,84,1.9
154,Kismayo,SO,2022-04-24 23:19:22,-0.3582,42.5454,82.27,77,57,10.56
155,Faanui,PF,2022-04-24 23:09:28,-16.4833,-151.75,81.27,69,15,5.46
156,Castro,BR,2022-04-24 23:19:22,-24.7911,-50.0119,61.52,89,1,5.39
157,Varberg,SE,2022-04-24 23:19:23,57.1056,12.2508,40.05,72,6,8.08
158,Port Hedland,AU,2022-04-24 23:19:23,-20.3167,118.5667,71.65,73,10,3.44
159,Severomuysk,RU,2022-04-24 23:19:24,56.1481,113.4267,11.14,82,69,1.99
160,Tiksi,RU,2022-04-24 23:13:22,71.6872,128.8694,2.46,98,99,1.79
161,Tiarei,PF,2022-04-24 23:19:24,-17.5333,-149.3333,86.02,70,46,5.77
162,Coquimbo,CL,2022-04-24 23:13:19,-29.9533,-71.3436,56.93,94,100,5.75
163,Jesus Carranza,MX,2022-04-24 23:19:25,17.4333,-95.0333,97.77,29,0,18.54
164,Upernavik,GL,2022-04-24 23:19:25,72.7868,-56.1549,4.42,91,17,8.57
165,Pangnirtung,CA,2022-04-24 23:19:26,66.1451,-65.7125,24.03,85,100,3.56
166,Aberdeen,GB,2022-04-24 23:19:18,57.1437,-2.0981,44.55,94,100,3.44
167,Taoudenni,ML,2022-04-24 23:19:26,22.6783,-3.9836,80.76,23,0,12.46
168,Batagay,RU,2022-04-24 23:19:27,67.6333,134.6333,15.21,92,100,2.66
169,Chokurdakh,RU,2022-04-24 23:12:11,70.6333,147.9167,4.14,93,77,2.89
170,Kigoma,TZ,2022-04-24 23:19:27,-4.8769,29.6267,71.02,87,100,5.55
171,Saint George,US,2022-04-24 23:10:44,37.1041,-113.5841,72.63,13,0,7.0
172,Namibe,AO,2022-04-24 23:19:28,-15.1961,12.1522,71.56,75,18,3.83
173,Staszow,PL,2022-04-24 23:19:28,50.5631,21.1659,48.61,94,92,2.71
174,Stokmarknes,NO,2022-04-24 23:19:29,68.5646,14.9108,39.18,93,75,9.22
175,Kilindoni,TZ,2022-04-24 23:19:29,-7.9139,39.6668,81.32,77,100,6.33
176,Shemonaikha,KZ,2022-04-24 23:19:30,50.6328,81.9056,31.06,67,83,3.06
177,Caravelas,BR,2022-04-24 23:19:30,-17.7125,-39.2481,78.31,88,10,6.6
178,Nizhniy Odes,RU,2022-04-24 23:19:30,63.6445,54.856,32.29,99,100,4.07
179,De-Kastri,RU,2022-04-24 23:19:31,51.4667,140.7833,30.38,87,91,10.74
180,Pravia,ES,2022-04-24 23:20:31,43.4906,-6.1508,52.48,87,40,2.3
181,Tuktoyaktuk,CA,2022-04-24 23:12:03,69.4541,-133.0374,30.56,89,100,3.76
182,Balkanabat,TM,2022-04-24 23:20:32,39.5108,54.3671,72.09,26,100,9.73
183,Coolum Beach,AU,2022-04-24 23:20:32,-26.5333,153.1,69.22,89,84,16.04
184,Scarborough,GB,2022-04-24 23:15:33,54.2797,-0.4044,43.79,83,18,5.01
185,Koutsouras,GR,2022-04-24 23:20:33,35.0339,25.9469,62.11,75,1,2.24
186,Goianesia,BR,2022-04-24 23:20:33,-15.3175,-49.1175,75.81,59,100,1.43
187,Sao Jose Da Coroa Grande,BR,2022-04-24 23:20:34,-8.8978,-35.1478,78.87,82,100,10.94
188,Mehamn,NO,2022-04-24 23:20:34,71.0357,27.8492,34.11,73,100,10.16
189,Margate,GB,2022-04-24 23:20:35,51.3813,1.3862,48.87,84,7,8.01
190,Mecca,SA,2022-04-24 23:20:35,21.4267,39.8261,81.43,56,0,2.62
191,Mahebourg,MU,2022-04-24 23:12:00,-20.4081,57.7,74.25,68,100,15.99
192,Ostrovnoy,RU,2022-04-24 23:20:36,68.0531,39.5131,34.02,96,100,12.41
193,Astaneh-Ye Ashrafiyeh,IR,2022-04-24 23:20:36,37.2596,49.9444,55.33,80,100,0.65
194,Broome,US,2022-04-24 23:20:36,42.2506,-75.833,77.77,38,0,8.05
195,Khani,GE,2022-04-24 23:20:37,41.9563,42.9566,38.77,69,7,4.92
196,Kuryk,KZ,2022-04-24 23:20:37,43.2,51.65,61.3,42,84,8.84
197,Mirabela,BR,2022-04-24 23:20:38,-16.2628,-44.1644,78.24,39,86,6.85
198,Nanortalik,GL,2022-04-24 23:10:41,60.1432,-45.2371,36.72,93,99,1.28
199,Kommunisticheskiy,RU,2022-04-24 23:20:38,61.6789,64.4819,30.78,99,72,2.95
200,Saint-Pierre,RE,2022-04-24 23:17:40,-21.3393,55.4781,74.88,75,75,14.97
201,Khorol,UA,2022-04-24 23:20:39,49.7837,33.2783,47.71,72,30,6.33
202,Carnarvon,AU,2022-04-24 23:20:39,-24.8667,113.6333,64.47,94,40,5.75
203,Shelburne,CA,2022-04-24 23:20:40,44.0787,-80.2041,72.39,66,100,16.11
204,Hasaki,JP,2022-04-24 23:20:40,35.7333,140.8333,63.28,78,62,2.73
205,Campbellsville,US,2022-04-24 23:20:40,37.3434,-85.3419,80.71,75,100,8.28
206,Makat,KZ,2022-04-24 23:20:41,47.6469,53.3463,53.06,51,98,12.44
207,Dikson,RU,2022-04-24 23:14:45,73.5069,80.5464,6.76,94,96,13.98
208,Sal Rei,CV,2022-04-24 23:20:41,16.1833,-22.9167,71.82,81,22,14.5
209,Roald,NO,2022-04-24 23:20:42,62.5833,6.1333,45.75,87,75,17.27
210,Damara,CF,2022-04-24 23:20:42,4.9608,18.7035,70.93,96,99,4.32
211,Papagaios,BR,2022-04-24 23:20:43,-19.4492,-44.7478,70.83,65,79,5.55
212,Nuuk,GL,2022-04-24 23:10:46,64.1835,-51.7216,30.81,93,100,5.75
213,Hami,CN,2022-04-24 23:20:43,42.8,93.45,59.58,43,82,16.2
214,Ulfborg,DK,2022-04-24 23:20:44,56.2673,8.3217,44.98,63,27,10.63
215,Saint-Joseph,RE,2022-04-24 23:20:44,-21.3667,55.6167,73.78,78,92,13.91
216,Egvekinot,RU,2022-04-24 23:20:45,66.3167,-179.1667,21.29,81,17,4.21
217,Birao,CF,2022-04-24 23:20:45,10.2849,22.7882,83.16,49,88,5.19
218,Mattru,SL,2022-04-24 23:20:45,7.6244,-11.8332,74.61,91,100,3.09
219,Sarakhs,IR,2022-04-24 23:20:46,36.5449,61.1577,62.74,72,52,2.3
220,Foster,US,2022-04-24 23:20:46,41.8537,-71.7581,53.33,45,82,4.74
221,College,US,2022-04-24 23:20:47,64.8569,-147.8028,52.12,43,75,3.44
222,Rocha,UY,2022-04-24 23:20:47,-34.4833,-54.3333,65.14,44,1,11.81
223,Zhangjiakou,CN,2022-04-24 23:20:47,40.81,114.8794,60.94,41,26,0.89
224,Xiongyue,CN,2022-04-24 23:21:48,40.1774,122.1228,56.8,87,100,8.55
225,Samarai,PG,2022-04-24 23:20:15,-10.6167,150.6667,83.68,73,100,14.14
226,Los Llanos De Aridane,ES,2022-04-24 23:21:48,28.6585,-17.9182,62.35,77,20,3.44
227,Clyde River,CA,2022-04-24 23:21:49,70.4692,-68.5914,8.83,85,100,3.44
228,Gavle,SE,2022-04-24 23:21:49,60.6745,17.1417,29.35,51,14,1.99
229,Hobart,AU,2022-04-24 23:21:50,-42.8794,147.3294,56.26,89,75,5.75
230,Roblin,CA,2022-04-24 23:21:50,51.23,-101.3565,30.72,74,88,20.02
231,Hovd,MN,2022-04-24 23:21:50,48.0056,91.6419,24.37,44,13,1.63
232,Houma,US,2022-04-24 23:18:04,29.5958,-90.7195,82.99,79,40,14.97
233,Lefka,CY,2022-04-24 23:21:51,35.1106,32.8506,67.73,51,0,4.12
234,Norman Wells,CA,2022-04-24 23:13:32,65.282,-126.8329,42.62,76,72,4.05
235,Port Hardy,CA,2022-04-24 23:17:43,50.6996,-127.4199,46.58,93,100,18.41
236,Caconda,AO,2022-04-24 23:21:52,-13.7333,15.0667,63.07,60,98,1.63
237,Strezhevoy,RU,2022-04-24 23:21:52,60.7333,77.5889,32.09,99,100,6.58
238,Barcelona,ES,2022-04-24 23:20:11,41.3888,2.159,59.83,79,20,2.3
239,Darhan,MN,2022-04-24 23:21:53,49.4867,105.9228,29.57,65,100,18.75
240,Tefe,BR,2022-04-24 23:21:53,-3.3542,-64.7114,77.11,94,0,2.3
241,Haines Junction,CA,2022-04-24 23:21:53,60.7522,-137.5108,49.95,43,92,8.05
242,Tsabong,BW,2022-04-24 23:21:54,-26.0217,22.401,58.73,24,1,10.67
243,The Valley,AI,2022-04-24 23:21:54,18.217,-63.0578,78.66,69,20,8.05
244,Tevaitoa,PF,2022-04-24 23:21:55,-16.7833,-151.5,81.09,71,38,6.85
245,Fort Nelson,CA,2022-04-24 23:21:55,58.8053,-122.7002,53.19,37,75,5.75
246,Waipawa,NZ,2022-04-24 23:14:44,-41.4122,175.5153,54.75,68,99,3.06
247,Berbera,SO,2022-04-24 23:21:56,10.4396,45.0143,83.23,83,99,5.75
248,Sitka,US,2022-04-24 23:09:25,57.0531,-135.33,48.09,71,100,5.75
249,Usilampatti,IN,2022-04-24 23:21:56,9.9667,77.8,79.75,79,61,1.54
250,Sorland,NO,2022-04-24 23:21:57,67.667,12.6934,41.63,78,100,13.56
251,The Pas,CA,2022-04-24 23:21:57,53.8251,-101.2541,33.82,51,0,9.22
252,Sao Filipe,CV,2022-04-24 23:21:57,14.8961,-24.4956,74.71,73,14,2.33
253,Cacahuatepec,MX,2022-04-24 23:21:58,16.8861,-99.6106,83.77,51,7,9.17
254,Newport,GB,2022-04-24 23:21:58,51.5877,-2.9984,50.54,65,35,10.71
255,Ninh Binh,VN,2022-04-24 23:19:52,20.2539,105.975,76.53,95,17,8.75
256,Bilibino,RU,2022-04-24 23:21:59,68.0546,166.4372,17.91,81,82,3.85
257,Baykit,RU,2022-04-24 23:19:03,61.67,96.37,29.82,94,99,3.71
258,Ceccano,IT,2022-04-24 23:21:59,41.5677,13.3333,58.06,83,91,0.69
259,Nikolskoye,RU,2022-04-24 23:22:00,59.7035,30.7861,44.87,95,100,7.63
260,Vardo,NO,2022-04-24 23:22:00,70.3705,31.1107,35.51,86,100,7.94
261,Katsuura,JP,2022-04-24 23:12:02,35.1333,140.3,65.3,80,74,0.89
262,Merauke,ID,2022-04-24 23:22:01,-8.4667,140.3333,79.72,82,99,8.57
263,Souillac,MU,2022-04-24 23:13:23,-20.5167,57.5167,75.78,68,100,14.61
264,Amahai,ID,2022-04-24 23:22:01,-3.3333,128.9167,81.32,77,100,2.68
265,Beloha,MG,2022-04-24 23:22:02,-25.1667,45.05,72.32,62,87,6.38
266,Guangyuan,CN,2022-04-24 23:22:02,32.442,105.823,55.2,84,51,5.08
267,Along,IN,2022-04-24 23:22:03,28.1667,94.7667,64.6,96,98,2.75
268,Rute,ES,2022-04-24 23:22:03,37.3269,-4.3683,50.58,70,99,1.16
269,Atherton,GB,2022-04-24 23:22:04,53.5237,-2.4935,47.21,74,18,5.01
270,Urengoy,RU,2022-04-24 23:22:04,65.9667,78.3667,1.47,99,98,5.32
271,Manaus,BR,2022-04-24 23:23:05,-3.1019,-60.025,82.89,83,40,2.3
272,Les Cayes,HT,2022-04-24 23:23:05,18.2,-73.75,77.99,75,99,6.29
273,Abonnema,NG,2022-04-24 23:23:05,4.7084,6.7931,75.49,86,92,3.09
274,San Cristobal,VE,2022-04-24 23:23:06,7.7669,-72.225,69.98,93,73,1.97
275,Okha,RU,2022-04-24 23:23:06,53.5739,142.9478,30.24,79,100,9.24
276,Bowen,AU,2022-04-24 23:23:07,-20.0167,148.2333,77.14,84,100,22.26
277,Benguela,AO,2022-04-24 23:23:07,-12.5763,13.4055,74.12,89,48,3.09
278,Tezu,IN,2022-04-24 23:13:31,27.9167,96.1667,67.46,80,68,4.07
279,Biryusinsk,RU,2022-04-24 23:23:08,55.9634,97.8235,25.84,85,100,11.68
280,Tuatapere,NZ,2022-04-24 23:23:08,-46.1333,167.6833,57.13,77,86,9.22
281,Iqaluit,CA,2022-04-24 23:23:08,63.7506,-68.5145,22.73,73,100,15.01
282,Boa Vista,BR,2022-04-24 23:10:30,2.8197,-60.6733,80.58,74,40,4.61
283,Bonfim,BR,2022-04-24 23:23:09,3.0833,-59.95,85.42,58,72,9.48
284,Peniche,PT,2022-04-24 23:23:10,39.3558,-9.3811,54.45,93,37,4.83
285,Maldonado,UY,2022-04-24 23:23:10,-34.6667,-54.9167,72.23,36,1,13.09
286,Saint-Augustin,CA,2022-04-24 23:23:10,51.226,-58.6502,37.33,93,100,18.21
