City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
72,Yarada,IN,82.29,few clouds,17.65,83.2667,Yarada Jungle Beach Resorts
74,Iralaya,HN,78.85,clear sky,15.0,-83.2333,Iglesia morava renovada
75,Veraval,IN,81.77,clear sky,20.9,70.3667,Lords Inn Somnath
79,Sao Filipe,CV,71.64,clear sky,14.8961,-24.4956,Hotel Xaguate
80,San Pedro,PH,83.43,few clouds,14.35,121.0167,Esquivel's Garden And Resort
84,Suluq,LY,72.59,few clouds,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
89,Rameswaram,IN,86.0,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
96,Atar,MR,79.32,scattered clouds,20.5169,-13.0499,Oumou Elghoura
98,Anloga,GH,80.13,broken clouds,5.7947,0.8973,Pin Drop Hotel
99,Quatre Cocos,MU,74.08,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
100,Hithadhoo,MV,84.81,broken clouds,-0.6,73.0833,Scoop Guest House
103,Bambous Virieux,MU,74.21,few clouds,-20.3428,57.7575,Casa Tia Villa
104,Puerto Ayora,EC,78.76,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
105,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
107,Estelle,US,81.0,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
111,Hobyo,SO,83.25,clear sky,5.3505,48.5268,Iftin hotel hobyo
113,Faanui,PF,82.08,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
115,Victoria,HK,79.25,scattered clouds,22.2855,114.1577,Mini Hotel Central
116,Mount Isa,AU,80.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
117,Marawi,PH,71.58,overcast clouds,7.9986,124.2928,Derogongan Residence
119,Waingapu,ID,77.02,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
120,Gogrial,SS,82.67,overcast clouds,8.5332,28.1004,
122,Ati,TD,85.48,broken clouds,13.2154,18.3353,
130,Kilindoni,TZ,79.07,moderate rain,-7.9139,39.6668,Bustani B&B
131,Georgetown,MY,78.75,few clouds,5.4112,100.3354,Cititel Penang
133,Avera,US,78.55,clear sky,33.194,-82.5271,
138,Bayshore Gardens,US,83.1,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
139,Sabha,LY,75.6,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
142,Palu,ID,76.41,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
143,Bandarbeyla,SO,82.87,few clouds,9.4942,50.8122,JABIR HOTEL
144,Rikitea,PF,77.23,scattered clouds,-23.1203,-134.9692,People ThankYou
145,Pontal Do Parana,BR,75.11,broken clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
146,Puerto Maldonado,PE,81.28,overcast clouds,-12.6,-69.1833,Wasai Hotel
147,Port Macquarie,AU,70.9,few clouds,-31.4333,152.9167,Rydges Port Macquarie
150,Bonthe,SL,80.64,broken clouds,7.5264,-12.505,Bonthe Holiday Village
151,Atuona,PF,78.87,light rain,-9.8,-139.0333,Villa Enata
153,Trincomalee,LK,80.47,broken clouds,8.5711,81.2335,Welcombe Hotel
154,Raga,SS,79.61,overcast clouds,8.4596,25.678,
155,Kihei,US,87.82,light rain,20.785,-156.4656,Maui Sunset
156,Morondava,MG,73.13,clear sky,-20.2833,44.2833,La Case Bambou
160,Umm Kaddadah,SD,84.58,overcast clouds,13.6017,26.6876,
161,Aripuana,BR,77.86,overcast clouds,-9.1667,-60.6333,
163,Basoko,CD,71.38,light rain,1.2391,23.616,Jackyna Hotel
164,Monrovia,LR,79.77,moderate rain,6.3005,-10.7969,Sunset Inn
165,Salinas,US,70.02,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
168,Vao,NC,73.45,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
169,Sola,VU,81.09,overcast clouds,-13.8833,167.55,Leumerus Bungalows
171,Ahuimanu,US,83.91,few clouds,21.4447,-157.8378,Paradise Bay Resort
