City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Polyarnyy,RU,69.1989,33.4478,21.92,64,100,21.32,overcast clouds
124,Luderitz,NA,-26.6481,15.1594,61.81,67,23,8.81,few clouds
125,Longonjo,AO,-12.9067,15.2533,66.52,78,100,3.8,overcast clouds
126,Makubetsu,JP,45.3714,141.8211,43.66,59,15,12.5,few clouds
127,Sulina,RO,45.1559,29.6536,55.17,76,80,8.41,broken clouds
128,Pangnirtung,CA,66.1451,-65.7125,17.6,79,100,23.02,light snow
129,Upernavik,GL,72.7868,-56.1549,14.85,89,51,4.09,broken clouds
130,Kilindoni,TZ,-7.9139,39.6668,79.07,81,94,13.49,moderate rain
131,Georgetown,MY,5.4112,100.3354,78.75,94,20,3.44,few clouds
132,New Norfolk,AU,-42.7826,147.0587,60.3,86,3,3.69,clear sky
133,Avera,US,33.194,-82.5271,78.55,48,5,6.31,clear sky
134,Genhe,CN,50.7833,121.5167,32.7,91,100,3.36,snow
135,Castro,BR,-24.7911,-50.0119,63.73,91,62,4.23,broken clouds
136,Kodiak,US,57.79,-152.4072,42.26,69,94,14.32,overcast clouds
137,Nikolskoye,RU,59.7035,30.7861,37.71,61,100,8.43,overcast clouds
138,Bayshore Gardens,US,27.4253,-82.5904,83.1,73,0,16.11,clear sky
139,Sabha,LY,27.0377,14.4283,75.6,21,0,9.73,clear sky
140,Nakamura,JP,32.9833,132.9333,66.9,100,100,7.27,light rain
141,Blumberg,DE,47.8406,8.5333,46.9,79,5,4.76,clear sky
142,Palu,ID,-0.8917,119.8707,76.41,95,100,3.42,overcast clouds
143,Bandarbeyla,SO,9.4942,50.8122,82.87,78,21,4.74,few clouds
144,Rikitea,PF,-23.1203,-134.9692,77.23,64,25,18.48,scattered clouds
145,Pontal Do Parana,BR,-25.6533,-48.5128,75.11,81,74,5.12,broken clouds
146,Puerto Maldonado,PE,-12.6,-69.1833,81.28,71,100,0.96,overcast clouds
147,Port Macquarie,AU,-31.4333,152.9167,70.9,77,23,7.54,few clouds
148,Ribeira Grande,PT,38.5167,-28.7,63.0,100,75,14.97,light intensity drizzle rain
149,Severomuysk,RU,56.1481,113.4267,13.86,93,60,3.2,broken clouds
150,Bonthe,SL,7.5264,-12.505,80.64,84,75,3.78,broken clouds
151,Atuona,PF,-9.8,-139.0333,78.87,77,66,19.69,light rain
152,Changping,CN,40.2186,116.2197,49.64,70,41,0.74,scattered clouds
153,Trincomalee,LK,8.5711,81.2335,80.47,83,63,7.67,broken clouds
154,Raga,SS,8.4596,25.678,79.61,59,100,5.79,overcast clouds
155,Kihei,US,20.785,-156.4656,87.82,45,40,18.41,light rain
156,Morondava,MG,-20.2833,44.2833,73.13,63,0,11.07,clear sky
157,Zhezkazgan,KZ,47.8043,67.7144,54.88,38,95,9.35,overcast clouds
158,Cobadin,RO,44.0833,28.2167,56.32,85,78,5.08,broken clouds
159,Komsomolskiy,UZ,40.4272,71.7189,63.32,63,97,9.22,overcast clouds
160,Umm Kaddadah,SD,13.6017,26.6876,84.58,10,98,7.43,overcast clouds
161,Aripuana,BR,-9.1667,-60.6333,77.86,77,100,1.01,overcast clouds
162,Geraldton,AU,-28.7667,114.6,52.21,93,0,8.05,clear sky
163,Basoko,CD,1.2391,23.616,71.38,95,100,1.61,light rain
164,Monrovia,LR,6.3005,-10.7969,79.77,81,64,5.23,moderate rain
165,Salinas,US,36.6777,-121.6555,70.02,55,0,19.57,clear sky
166,Kempele,FI,64.9131,25.5034,26.62,74,0,3.44,clear sky
167,Jining,CN,35.405,116.5814,47.59,85,1,5.26,clear sky
168,Vao,NC,-22.6667,167.4833,73.45,76,100,24.61,overcast clouds
169,Sola,VU,-13.8833,167.55,81.09,74,100,4.59,overcast clouds
170,Kostino,RU,58.9097,53.2691,24.39,94,89,3.71,overcast clouds
171,Ahuimanu,US,21.4447,-157.8378,83.91,63,20,13.8,few clouds
172,Cidreira,BR,-30.1811,-50.2056,66.27,88,99,11.07,overcast clouds
173,Volksrust,ZA,-27.3654,29.8818,44.69,69,0,3.49,clear sky
174,Iqaluit,CA,63.7506,-68.5145,13.73,57,75,8.05,broken clouds
175,Andros Town,BS,24.7,-77.7667,78.76,60,4,8.93,clear sky
176,Nuuk,GL,64.1835,-51.7216,36.21,93,100,31.07,light rain and snow
177,Fortuna,US,40.5982,-124.1573,58.86,62,0,13.8,clear sky
178,Aykhal,RU,66.0,111.5,28.8,86,100,8.46,overcast clouds
179,Cabo San Lucas,MX,22.8909,-109.9124,88.9,26,0,8.05,clear sky
180,Mahajanga,MG,-15.7167,46.3167,76.01,77,71,11.5,broken clouds
181,Odienne,CI,9.51,-7.5692,75.69,80,100,4.74,overcast clouds
182,Carnarvon,AU,-24.8667,113.6333,59.07,82,0,11.5,clear sky
183,Sorland,NO,67.667,12.6934,35.06,60,100,16.26,light snow
184,Kavaratti,IN,10.5669,72.642,84.27,76,86,5.44,overcast clouds
185,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,76.24,59,3,3.78,clear sky
186,Watsa,CD,3.0372,29.5355,63.16,97,100,2.66,overcast clouds
187,Atoka,US,34.4001,-96.0169,76.69,81,98,14.58,overcast clouds
188,Dolneni,MK,41.4253,21.4547,50.67,75,100,3.83,overcast clouds
189,Sharan,RU,54.8167,54.0,35.35,79,20,5.88,few clouds
190,Thompson,CA,55.7435,-97.8558,48.36,43,100,8.05,overcast clouds
191,Hasaki,JP,35.7333,140.8333,59.29,73,90,12.53,overcast clouds
192,Bulgan,MN,48.8125,103.5347,31.62,40,34,1.77,scattered clouds
193,Phalaborwa,ZA,-23.943,31.1411,61.88,55,0,2.44,clear sky
194,San Policarpo,PH,12.1791,125.5072,81.43,81,99,9.46,overcast clouds
195,Nichinan,JP,31.6,131.3667,67.68,96,100,11.14,moderate rain
196,Haines Junction,CA,60.7522,-137.5108,46.35,61,100,4.61,overcast clouds
197,Yinchuan,CN,38.4681,106.2731,58.21,24,100,3.83,overcast clouds
198,Okha,RU,53.5739,142.9478,30.81,94,100,19.98,light snow
199,Qiongshan,CN,20.0058,110.3542,76.98,100,40,4.47,scattered clouds
200,Rongcheng,CN,30.634,117.8517,50.16,94,100,5.06,overcast clouds
201,North Platte,US,41.1239,-100.7654,82.29,32,0,3.0,clear sky
202,Rio Grande,BR,-32.035,-52.0986,59.11,82,48,10.87,scattered clouds
203,Pisco,PE,-13.7,-76.2167,68.05,83,98,6.91,mist
204,Fomboni,KM,-12.28,43.7425,81.82,70,63,21.77,broken clouds
205,Swan River,CA,52.1058,-101.2676,55.29,44,42,8.05,scattered clouds
206,Guerrero Negro,MX,27.9769,-114.0611,64.94,60,1,21.99,clear sky
207,Lompoc,US,34.6391,-120.4579,73.56,62,0,28.99,clear sky
208,Asheboro,US,35.7079,-79.8136,73.02,36,40,4.61,scattered clouds
209,Trairi,BR,-3.2778,-39.2689,76.84,91,42,7.02,scattered clouds
210,Pacific Grove,US,36.6177,-121.9166,66.87,68,0,18.41,clear sky
211,Porto Novo,BJ,6.4965,2.6036,80.42,77,70,3.42,broken clouds
212,Guangshui,CN,31.6199,113.9978,49.64,93,100,7.2,overcast clouds
213,Lekoni,GA,-1.5843,14.2591,73.44,89,98,1.36,moderate rain
214,North Bend,US,43.4065,-124.2243,56.25,83,100,18.41,overcast clouds
215,Luanda,AO,-8.8368,13.2343,76.28,91,100,8.66,overcast clouds
216,Banska Bystrica,SK,48.5,19.5,47.86,81,77,5.5,broken clouds
217,Poum,NC,-20.2333,164.0167,73.47,86,100,15.43,overcast clouds
218,Kupino,RU,54.3663,77.2981,59.07,53,100,9.51,overcast clouds
219,Dingle,PH,10.9995,122.6711,79.59,86,100,7.61,overcast clouds
220,Renqiu,CN,38.6989,116.0936,47.97,78,6,4.5,clear sky
221,Richards Bay,ZA,-28.783,32.0377,63.41,88,0,9.98,clear sky
222,Pangkalanbuun,ID,-2.6833,111.6167,75.18,98,89,2.33,overcast clouds
223,Pindiga,NG,9.9833,10.9333,83.98,43,77,10.89,broken clouds
224,Ilulissat,GL,69.2167,-51.1,26.62,93,40,4.61,light snow
225,Vostok,RU,46.4856,135.8833,40.23,40,0,4.43,clear sky
226,Saint-Francois,FR,46.4154,3.9054,48.67,93,0,2.3,clear sky
227,Imeni Poliny Osipenko,RU,52.4201,136.4853,31.87,76,55,2.57,broken clouds
228,Namibe,AO,-15.1961,12.1522,73.45,69,21,1.79,few clouds
229,Shingu,JP,33.7333,135.9833,63.0,97,100,10.49,overcast clouds
230,Lowestoft,GB,52.4752,1.7516,47.23,80,100,10.16,overcast clouds
231,Emerald,AU,-23.5333,148.1667,69.94,83,0,10.36,clear sky
232,Lorengau,PG,-2.0226,147.2712,83.95,68,100,1.63,overcast clouds
233,Ust-Tarka,RU,55.5672,75.705,59.0,49,100,10.8,overcast clouds
234,Nouadhibou,MR,20.931,-17.0347,64.38,82,5,16.11,clear sky
235,Ixtapa,MX,20.7,-105.2,79.83,78,0,14.97,clear sky
236,Saint George,US,37.1041,-113.5841,84.63,6,0,21.85,clear sky
237,Gonbad-E Qabus,IR,37.25,55.1672,62.29,76,78,3.42,broken clouds
238,Gorele,TR,41.0308,39.0031,54.25,91,89,5.28,overcast clouds
239,Nan,TH,18.8333,100.6667,78.13,72,96,1.36,overcast clouds
240,Saldanha,ZA,-33.0117,17.9442,59.05,92,24,14.92,few clouds
241,Meulaboh,ID,4.1363,96.1285,77.2,89,81,3.74,broken clouds
242,Moerai,PF,-22.4333,-151.3333,80.04,73,2,19.86,clear sky
243,Klaksvik,FO,62.2266,-6.589,41.92,82,11,3.42,few clouds
244,Bagalkot,IN,16.1833,75.7,87.04,54,93,7.58,overcast clouds
245,Kieta,PG,-6.2167,155.6333,85.12,63,90,3.91,overcast clouds
246,Verkhniye Sergi,RU,56.6469,59.5556,35.11,79,97,9.24,overcast clouds
247,West Memphis,US,35.1465,-90.1845,79.48,54,58,4.03,broken clouds
248,Khatanga,RU,71.9667,102.5,14.45,93,99,6.98,overcast clouds
249,Krasnogvardeyets,RU,52.6804,52.3635,43.21,75,18,7.45,few clouds
250,Port Lincoln,AU,-34.7333,135.8667,63.27,81,99,11.39,overcast clouds
251,Oktyabrskiy,RU,54.4815,53.471,36.21,80,33,4.63,scattered clouds
252,Yenagoa,NG,4.9247,6.2642,77.14,92,99,2.89,overcast clouds
253,Anadyr,RU,64.75,177.4833,32.5,74,0,6.71,clear sky
254,Cockburn Town,TC,21.4612,-71.1419,75.18,59,27,11.56,scattered clouds
255,Taseyevo,RU,57.2169,94.8978,43.43,83,97,4.5,overcast clouds
256,Opuwo,NA,-18.0607,13.84,73.74,37,68,2.91,broken clouds
257,Freetown,SL,8.484,-13.2299,80.06,87,100,6.08,overcast clouds
258,Port Elizabeth,ZA,-33.918,25.5701,59.31,79,0,1.99,clear sky
259,Manaure,CO,11.7751,-72.4445,82.8,70,99,14.94,overcast clouds
260,Yara,CU,20.2753,-76.9533,78.57,53,44,6.89,light rain
261,Angoche,MZ,-16.2325,39.9086,74.35,74,12,11.61,few clouds
262,Antofagasta,CL,-23.65,-70.4,61.88,85,99,2.68,overcast clouds
263,Buraydah,SA,26.326,43.975,72.05,54,29,7.09,scattered clouds
264,Araouane,ML,18.9048,-3.5265,78.04,10,0,3.89,clear sky
265,Gouyave,GD,12.1646,-61.7296,79.57,94,75,21.85,broken clouds
266,Cabedelo,BR,-6.9811,-34.8339,77.67,82,54,11.54,broken clouds
267,Benjamin Constant,BR,-4.3831,-70.0311,80.73,83,75,6.91,thunderstorm
268,Honiara,SB,-9.4333,159.95,85.39,67,97,2.95,overcast clouds
269,Saskylakh,RU,71.9167,114.0833,23.38,91,100,11.52,overcast clouds
270,Severo-Kurilsk,RU,50.6789,156.125,34.47,92,100,14.29,overcast clouds
271,Mackenzie,CA,55.2999,-123.1698,48.42,46,20,6.91,few clouds
272,Codrington,AU,-38.2667,141.9667,65.32,67,90,15.01,overcast clouds
273,Inuvik,CA,68.3499,-133.7218,21.96,63,75,8.05,broken clouds
274,Norman Wells,CA,65.282,-126.8329,39.24,56,75,12.66,broken clouds
275,Bizhbulyak,RU,53.6967,54.2642,38.41,82,17,9.64,few clouds
276,Tromso,NO,69.6496,18.957,28.42,80,100,8.05,light snow
277,Santo Antonio Do Ica,BR,-3.1022,-67.9397,75.94,95,98,2.15,overcast clouds
278,Abu Samrah,SY,35.3029,37.1841,67.14,49,20,5.26,few clouds
279,Johnstown,US,40.3267,-78.922,53.53,31,0,16.11,clear sky
280,Oistins,BB,13.0667,-59.5333,80.69,83,40,14.97,scattered clouds
281,Gigmoto,PH,13.7796,124.39,81.46,84,75,9.22,broken clouds
282,Waipawa,NZ,-41.4122,175.5153,55.92,59,70,6.11,broken clouds
283,Emba,KZ,48.8264,58.1442,55.47,37,3,4.23,clear sky
284,Sitka,US,57.0531,-135.33,49.89,62,20,8.05,few clouds
285,Iquique,CL,-20.2208,-70.1431,64.44,80,96,2.06,overcast clouds
286,Shevchenkove,UA,49.6959,37.1735,49.1,69,94,6.06,overcast clouds
287,Campbell River,CA,50.0163,-125.2446,51.46,66,75,3.44,broken clouds
288,Berlevag,NO,70.8578,29.0864,24.8,63,75,29.93,broken clouds
289,Beberibe,BR,-4.1797,-38.1306,78.06,86,74,8.79,broken clouds
290,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.96,93,100,14.97,overcast clouds
291,Grand Gaube,MU,-20.0064,57.6608,74.37,82,2,10.2,clear sky
292,Longyearbyen,SJ,78.2186,15.6401,6.64,61,20,21.85,few clouds
293,Christchurch,NZ,-43.5333,172.6333,60.42,82,78,2.3,broken clouds
294,Huainan,CN,32.6264,116.9969,48.02,85,38,6.35,scattered clouds
295,Naumburg,DE,51.15,11.8167,49.93,85,27,1.05,scattered clouds
296,Zhangye,CN,38.9342,100.4517,49.71,22,100,16.67,overcast clouds
297,College,US,64.8569,-147.8028,54.09,42,40,6.91,scattered clouds
298,Lavrentiya,RU,65.5833,-171.0,30.45,89,66,10.25,broken clouds
299,Kruisfontein,ZA,-34.0033,24.7314,58.44,59,12,3.87,few clouds
300,Yuzhno-Kurilsk,RU,44.0306,145.8556,43.16,58,100,10.54,overcast clouds
301,Todos Santos,MX,23.45,-110.2167,69.44,77,2,9.71,clear sky
302,Salalah,OM,17.0151,54.0924,84.29,79,75,3.44,broken clouds
303,Kaeo,NZ,-35.1,173.7833,62.33,95,8,10.76,clear sky
304,Hvide Sande,DK,56.0045,8.1294,45.09,76,23,18.86,few clouds
305,San Marcos,US,33.1434,-117.1661,70.84,61,75,9.22,broken clouds
306,Margate,GB,51.3813,1.3862,48.31,79,100,5.99,overcast clouds
307,Kununurra,AU,-15.7667,128.7333,76.98,94,91,0.0,overcast clouds
308,Saint Anthony,US,45.0205,-93.218,51.64,59,100,17.27,overcast clouds
309,Nelson Bay,AU,-32.7167,152.15,68.09,94,33,3.42,scattered clouds
310,Izhma,RU,65.0083,53.9113,23.63,81,4,6.85,clear sky
311,Katsuura,JP,35.1333,140.3,63.09,84,100,13.31,overcast clouds
312,Bac Lieu,VN,9.285,105.7244,81.97,77,99,3.4,overcast clouds
313,Lanxi,CN,29.2195,119.477,59.68,93,100,3.69,overcast clouds
314,Kandrian,PG,-6.2167,149.55,82.02,78,91,3.15,light rain
315,Ilheus,BR,-14.7889,-39.0494,82.22,78,40,6.91,scattered clouds
316,Mulege,MX,26.8833,-111.9833,84.69,29,11,6.96,few clouds
317,Vaxjo,SE,56.8777,14.8091,42.85,87,0,2.3,clear sky
318,Suphan Buri,TH,14.4742,100.1222,79.2,82,100,2.71,overcast clouds
319,Kuching,MY,1.55,110.3333,75.42,100,20,0.0,few clouds
320,Clyde River,CA,70.4692,-68.5914,5.23,85,75,8.05,broken clouds
321,Severo-Yeniseyskiy,RU,60.3725,93.0408,38.08,95,100,6.76,overcast clouds
322,Hohhot,CN,40.8106,111.6522,44.89,76,0,4.47,clear sky
323,Kokopo,PG,-4.352,152.2633,83.17,64,100,2.62,overcast clouds
324,Ust-Koksa,RU,50.2696,85.6108,37.27,78,10,0.94,clear sky
325,Nanortalik,GL,60.1432,-45.2371,38.75,82,97,4.41,overcast clouds
326,Pedasi,PA,7.5333,-80.0333,80.06,77,100,11.43,overcast clouds
327,Hofn,IS,64.2539,-15.2082,45.5,68,8,8.9,clear sky
328,Flin Flon,CA,54.7682,-101.865,48.04,49,40,8.05,scattered clouds
329,Royan,FR,45.6285,-1.0281,54.82,83,4,6.85,clear sky
330,Partur,IN,19.6,76.2167,87.6,24,1,7.18,clear sky
331,Ponerihouen,NC,-21.0833,165.4,71.11,89,100,17.81,overcast clouds
332,Mokhsogollokh,RU,61.4681,128.9203,27.25,81,29,6.53,scattered clouds
333,Obera,AR,-27.4871,-55.1199,68.04,95,57,5.57,broken clouds
334,Utete,TZ,-7.986,38.758,72.03,92,60,2.73,broken clouds
335,Moron,AR,-34.6534,-58.6198,56.95,34,0,4.61,clear sky
336,Mahebourg,MU,-20.4081,57.7,74.25,94,20,6.91,few clouds
337,Mar Del Plata,AR,-38.0023,-57.5575,48.87,85,20,13.0,few clouds
338,Mecca,SA,21.4267,39.8261,82.22,44,0,4.05,clear sky
339,Labuhan,ID,-6.8844,112.2051,78.87,88,79,4.09,broken clouds
340,Tikrit,IQ,34.6071,43.6782,75.83,39,94,2.19,overcast clouds
341,Melton,AU,-37.6833,144.5833,66.49,82,58,10.94,broken clouds
342,Deming,US,32.2687,-107.7586,84.09,7,0,21.85,haze
343,Khao Yoi,TH,13.2403,99.8243,80.98,82,100,1.77,overcast clouds
344,Bud,US,39.447,-86.1758,61.75,67,100,6.44,light rain
345,Kudahuvadhoo,MV,2.6708,72.8944,84.0,73,81,7.9,broken clouds
